t,cpu_time,RBQpos_x,RBQpos_y,RBQpos_z,RBQvel_x,RBQvel_y,RBQvel_z,RBQroll,RBQpitch,RBQyaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,F_rh_x,F_rh_y,F_rh_z,F_lh_x,F_lh_y,F_lh_z,F_rf_x,F_rf_y,F_rf_z,F_lf_x,F_lf_y,F_lf_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,out_quat_w,out_quat_x,out_quat_y,out_quat_z,out_roll_deg,out_pitch_deg,out_yaw_deg,out_p_trunk_x,out_p_trunk_y,out_p_trunk_z,out_v_trunk_sf_x,out_v_trunk_sf_y,out_v_trunk_sf_z
0.020063,0.000504,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0.00111109,0.00111108,1.01047e-05,-2.03464,0.0332072,9.58729,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000767004,0.0527551,-2.73395e-06,0.00949899,-0.000209843,0.596752,0.000186436,0.000229894,-0.383086
0.022067,0.000333,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.0397,0.0632398,9.57754,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000881293,0.0575021,-2.8448e-06,0.00949892,-0.000209868,0.596015,0.000170901,0.000195207,-0.381701
0.024086,0.000415,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.0397,0.0632398,9.57754,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000993562,0.0622463,-3.03005e-06,0.00949885,-0.000209891,0.595278,0.000206041,0.000207747,-0.38029
0.026073,0.000482,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.04967,0.088223,9.58262,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720263,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00116172,0.067008,-1.97902e-06,0.00949881,-0.000210013,0.59456,0.00022311,0.000266102,-0.378859
0.028075,0.000356,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0.00111109,-2.129e-08,6.42006e-06,-2.0597,0.0832393,9.57772,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720263,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00118886,0.0717916,-5.91666e-07,0.00949882,-0.000209164,0.593841,0.000220203,0.000394537,-0.377433
0.030065,0.000269,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0.00111109,-2.129e-08,6.42006e-06,-2.06475,0.078272,9.56785,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720263,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00120357,0.0765881,3.90125e-07,0.00949884,-0.000208288,0.593132,0.00020523,0.000460629,-0.376021
0.032079,0.000291,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0.00111109,-2.129e-08,6.42006e-06,-2.0547,0.0732394,9.57766,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.78177,-1.80905,0.00610646,0.720263,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00120372,0.0813541,9.99511e-07,0.00949882,-0.000207378,0.59242,0.000214431,0.000513417,-0.374594
0.03407,0.000268,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-6.4201e-06,3.68455e-06,-0.00111109,-2.05964,0.0682066,9.58755,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.78177,-1.80905,0.00610646,0.720233,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00131784,0.0861236,-0.000126307,0.00949882,-0.000207293,0.591722,0.000218779,0.000509062,-0.373144
0.036069,0.000269,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-6.4201e-06,3.68455e-06,-0.00111109,-2.05964,0.0682066,9.58755,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.78177,-1.80905,0.00610646,0.720233,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00143066,0.0908898,-0.000254189,0.00949882,-0.000207206,0.591026,0.000223445,0.000523521,-0.371697
0.03807,0.000261,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-6.4201e-06,-0.00221853,-0.00111846,-2.05967,0.053223,9.58256,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.78174,-1.80905,0.00610646,0.720233,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00150761,0.0954002,-0.000384235,0.00949689,-0.000207061,0.590336,6.94e-05,0.000510574,-0.37029
